country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cameroon,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,2160,2840,3340,3720,4860,3380,2970,2910,2240,2080,2480,3380,4220,5010,7360,10.9k,24.6k,18.6k,21.9k,23k
"Congo, Dem. Rep.",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8k,28.3k,44.1k,51.9k,50.9k,56k,29.2k,36.3k,36.3k,31.1k,43.1k,52.3k,58.7k,65.4k,67.3k,76k,82.7k,136k,133k,149k,145k
"Congo, Rep.",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4140,4260,7020,6950,7140,8170,4860,6070,5040,3200,3000,1940,2490,3270,3410,4070,4350,13.1k,11.8k,11.2k,12.8k
Colombia,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,15.5k,21.9k,22.9k,21.5k,19.7k,21.9k,43.1k,52.6k,64.3k,60.3k,42.6k,18.6k,15.6k,4710,6880,12.6k,32.5k,45.7k,75.6k,70.9k
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,96,82,36,45,517,509,5,41,36,5,5,28,54,318,348,226,226,322,500,1460,2690
Cape Verde,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,11,11,11,14,10,5,0,0,0,5,10,17,46,95,98,181,206,250,241
Costa Rica,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,671,1730,1470,351,133,74,61,65,76,74,39,23,460,125,213,312,486,548,744,799
Cuba,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3460,3530,2680,2210,1990,1670,1320,1070,867,2210,4380,908,823,1120,1820,2350,5030,13.3k,26.6k,56k,62.3k
Cyprus,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,15,5,0,0,0,0,0,0,0,0,0,0,0,5,5,20,20,35,19
Czech Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,211,184,344,167,203,181,133,783,2100,1150,656,194,111,97,119,233,307,224,185,157
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,52,73,61,61,65,80,67,100,81,30,29,21,73,77,86,128,179,176,204,166
