country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Switzerland,10k,9800,9500,9400,9200,20.7k,20.5k,20k,20k,20k,20k,20k,20k,20k,20k,20.5k,21k,26k,30k,31k,30k,35k,35k,35k,35k,35k,30k,30k,30k,32k,40k,33.4k,32.3k,31.2k,30.7k,31.3k,31.7k,31.9k,36.8k,40.9k,45.6k,51.9k,56.6k,75.3k,82.9k,84.4k,83.2k,81.9k,82.3k,57.6k,58.5k,54.1k,50.1k,47.7k,48k,48.5k,45.6k,46.1k,46.2k,48.8k,50.4k,50.7k,52.4k,62.6k,73.3k,82.7k,93k,104k,110k,116k
Chile,,,,,,,,,,,,,,,,,,,6500,6000,7000,7000,9500,3700,3300,4000,5200,3080,2000,1500,1500,2500,2500,2500,540,0,0,300,300,58,72,142,237,216,280,307,270,306,326,366,389,414,472,566,807,1140,1380,1610,1540,1610,1670,1690,1740,1760,1840,1730,1860,2030,2050,2080
China,,,,,,,,,,,,,,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,250k,263k,265k,272k,277k,280k,280k,282k,281k,284k,284k,287k,289k,288k,287k,287k,288k,290k,292k,292k,293k,294k,295k,297k,299k,299k,301k,301k,301k,301k,301k,301k,301k,301k,301k,301k,301k,317k,322k,322k,303k,303k
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,12k,0,300,0,0,0,300k,500k,0,0,0,0,0,0,450,650,810,880,800,800,480,272k,230k,174k,252k,360k,298k,328k,209k,151k,138k,121k,126k,44.8k,76k,72.1k,41.6k,27.3k,24.6k,24.8k,24.6k,26.2k,24.2k,3970,2970,1920,1970,1400,1560,1810,2020,2110
Cameroon,,,,,,,,,,,,,,,,,,,,8000,0,0,0,0,30k,30k,30k,30k,20k,128k,173k,36.8k,4190,13.7k,35.1k,53.6k,59.2k,51.2k,48.6k,49.9k,45.2k,42.2k,44k,44k,45.8k,46.4k,47.1k,47.8k,49.2k,43.7k,41.2k,58.3k,58.6k,58.9k,52k,35.1k,60.1k,81k,100k,104k,100k,99k,115k,264k,343k,375k,337k,380k,406k,436k
"Congo, Dem. Rep.",,,,,,,,,,150k,203k,223k,237k,236k,265k,357k,434k,475k,496k,489k,474k,495k,460k,503k,510k,515k,530k,653k,710k,611k,577k,498k,304k,337k,283k,301k,320k,341k,341k,416k,483k,391k,572k,1.72M,1.43M,676k,298k,240k,285k,333k,362k,333k,234k,199k,204k,208k,177k,155k,186k,166k,153k,65.1k,113k,120k,383k,452k,537k,529k,524k,490k
"Congo, Rep.",,,,,,,,,,,,,,,,,0,0,500,500,0,0,0,10k,5000,0,0,150,0,0,0,0,1000,1000,1200,1580,2120,2160,3400,2990,3400,3390,13.6k,15.5k,19.4k,20.5k,20.7k,27.2k,39.9k,123k,119k,109k,91.4k,68.5k,66.1k,55.8k,38.5k,24.8k,111k,133k,141k,98.4k,51k,54.8k,45k,46.5k,48.5k,37.5k,25.7k,27.1k
Colombia,,,,,,,,,,,,,,,,,,,,1500,1400,1350,1450,1200,0,0,1800,1500,2000,2000,1800,150,210,330,400,240,680,720,700,460,450,478,296,312,220,222,223,226,232,244,213,208,189,146,152,137,164,165,184,198,208,204,207,198,212,241,260,294,634,997
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Cape Verde,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,,,,,,,,,,,,,,,,,,,,,,700,0,200,0,0,3500,133k,18.6k,10.1k,15k,16.4k,16.9k,16.9k,24k,31.2k,31.6k,279k,279k,276k,117k,114k,24.8k,24.6k,24.2k,23.2k,23.1k,23k,22.9k,5520,8100,12.4k,13.5k,10.4k,11.3k,11.5k,17.2k,18.1k,19.1k,19.5k,20k,20.4k,20.6k,20.7k,3600,4160,4480,4530,6200,9650
Cuba,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1300,0,0,2600,4000,3060,2970,2000,2000,2000,2000,2000,2000,2000,2000,3990,3990,0,5090,3610,1990,1830,1700,1270,1070,956,951,1030,1000,833,791,697,656,617,523,445,406,381,366,377,276,300,312,343,287,233,232
Cyprus,,,,,,,,,,,,,,,,,,200,200,200,200,200,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,60,0,31,61,80,81,67,53,45,38,77,112,73,84,171,339,525,700,926,1190,1460,2890,3400,3500,3630,3880,5120,7060,8480,9790,11k,12.3k,14k
Czech Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,9400,188,1190,2660,2270,1730,1810,1230,1190,1220,1300,1520,1620,1800,1890,2020,2100,2300,2420,2420,2780,2970,3130,3640,3640,3640,2190,2050,1960
Germany,265k,240k,228k,225k,219k,221k,217k,212k,205k,197k,190k,185k,182k,180k,180k,140k,112k,110k,113k,115k,125k,125k,125k,123k,122k,122k,120k,83.5k,87k,94k,100k,100k,115k,127k,475k,548k,596k,610k,629k,816k,822k,1.24M,1.42M,1.35M,1.27M,1.27M,1.05M,949k,976k,906k,903k,980k,960k,877k,700k,605k,579k,583k,594k,594k,572k,590k,188k,217k,316k,669k,970k,1.06M,1.15M,1.21M
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,20k,28.8k,45.3k,31.8k,34.2k,29.2k,16.8k,17.3k,16.7k,13.1k,1270,31.4k,77.6k,96.1k,28k,34.1k,33.4k,27.3k,25.1k,23.6k,23.6k,23.3k,23.2k,23.2k,21.7k,27k,18k,10.5k,9260,6650,9230,12.1k,15.1k,20.3k,19.1k,20k,20.5k,19.4k,17.7k,17.6k,18.3k,19.6k,21.2k
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,2000,1800,1600,1400,1300,2500,2500,2500,2400,2300,2200,2200,2200,0,0,0,0,0,0,2000,4400,3690,3690,2900,2130,2100,1760,1800,1800,1800,1800,1800,3600,8500,8500,23k,30k,27.3k,30.7k,32.9k,36.1k,39.1k,44.6k,49.6k,64.8k,66.4k,68.1k,69k,69k,71k,73.3k,73.6k,69.9k,65.3k,44.4k,36.6k,26.8k,23.4k,20.3k,17.9k,13.4k,11.8k,13.2k,17.8k,27.3k,33.5k,35.7k,36.6k,37.5k,36.7k
Dominican Republic,,,,,,,,,,,,,,,,,,,,1000,1000,1100,0,1000,0,0,500,300,3300,3800,5000,5000,5000,5130,6000,4980,5000,4690,3320,1970,1570,510,1330,1250,982,637,638,614,621,506,0,0,0,0,0,0,0,0,0,600,595,757,721,608,615,593,594,164,164,172
Algeria,,,,,,,,,,,,,,,,,,,,500,0,0,0,0,21k,39.6k,52k,52k,52k,52k,167k,167k,167k,167k,174k,167k,167k,170k,169k,169k,169k,219k,219k,219k,192k,190k,171k,165k,165k,170k,169k,169k,169k,169k,94.1k,94.2k,94.1k,94.1k,94.1k,94.1k,94.1k,94.1k,94.1k,94.1k,94.2k,94.2k,94.2k,94.3k,98.6k,97.7k
Ecuador,,,,,,,,,,,,,,,,,,,,,,200,0,200,0,0,200,0,600,700,640,680,770,870,890,800,710,755,757,510,280,204,232,238,204,213,218,244,309,1600,1680,3230,6370,8430,10k,11.8k,265k,101k,117k,121k,123k,124k,123k,122k,122k,103k,92.4k,102k,105k,105k
Egypt,,,,,,,,,,,,,,470,5000,0,0,0,4800,5000,5020,7370,2600,4000,4000,4000,4510,5000,4850,1440,1580,5500,35k,5500,1090,1080,1150,1620,1740,1990,2250,5510,6710,7220,5400,6030,6490,6280,6550,6840,7220,80.5k,88.7k,90.3k,88.9k,88k,97.5k,97.9k,94.4k,95k,95.1k,110k,230k,236k,212k,214k,233k,247k,258k,273k
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,704,1080,2110,2610,2500,2970,1980,2270,3620,3890,4240,4420,4620,5040,4860,4750,4810,4720,3600,3170,2900,2550,2340,2390,2250,199,201
Spain,2000,0,0,2000,0,0,0,0,0,0,2000,2000,2000,14k,14k,17k,20k,20k,23k,29.5k,38k,40k,26k,18k,16k,16.5k,15k,15k,26k,21.5k,21.5k,23.5k,23.7k,9900,9300,10.2k,9200,8690,8680,8300,4010,4040,4990,5350,5840,5670,5510,5920,6710,6980,6800,6780,5910,5690,5370,5270,5140,4650,3960,3810,4220,4500,4640,5800,6450,13k,17.5k,20.4k,57.8k,104k
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,6,16,16,31,34,48,52,82,158,312,405,319,331,297
Ethiopia,,,,,,,,,,,,,,,,,0,20k,20k,21k,22.7k,16.2k,5400,5910,11.2k,10.7k,10.9k,10.9k,10.9k,10.9k,5450,5550,31.4k,180k,180k,132k,311k,680k,710k,774k,530k,432k,273k,348k,393k,391k,323k,262k,258k,198k,153k,133k,130k,116k,101k,97k,85.2k,83.6k,122k,154k,289k,376k,434k,660k,736k,792k,889k,903k,733k,800k
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,800,1070,2000,2350,4560,5950,8510,9510,10.2k,11.4k,12k,12.3k,12.9k,13.3k,12.7k,12.5k,10.8k,11.3k,11.8k,11.8k,6200,6620,7450,8720,9170,9910,11.2k,11.8k,12.7k,18.4k,20.8k,22.3k,23.5k,23.5k
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,7,7,7,0,12,14
